,Negativo,Neutral,Positivo,Sentimiento-Medio
cluster-0,10684.0,8521.0,13467.0,0.05510878734084231
cluster-1,16174.0,22956.0,22063.0,0.06156971549033386
cluster-2,19689.0,16967.0,31176.0,0.10644939703974526
cluster-3,11951.0,10588.0,17572.0,0.09058712821919175
