,Positivo,Neutral,Negativo,Total
American Airlines,0.448,0.0,-0.429,0.021
Delta Airlines,0.467,0.0,-0.408,0.082
Southwest Airlines,0.473,0.0,-0.406,0.082
United Airlines,0.483,0.0,-0.41,0.111
