,Positivo,Neutral,Negativo,Total
American Airlines,0.46,0.0,-0.431,0.029
Delta Airlines,0.481,0.0,-0.412,0.093
Southwest Airlines,0.492,0.0,-0.409,0.097
United Airlines,0.495,0.0,-0.414,0.122
