,Positivo,Neutral,Negativo,Total
American Airlines,0.337,0.0,-0.351,0.04
Delta Airlines,0.357,0.0,-0.338,0.062
Southwest Airlines,0.36,0.0,-0.332,0.076
United Airlines,0.361,0.0,-0.327,0.081
